questao;a;b;c;d;e;gabarito
"Qual o principal dispositivo legal que estabelece a ação afirmativa de cotas para contratação de pessoas com deficiência ou reabilitadas no Brasil?";"A ação afirmativa de cotas está prevista diretamente no texto da Constituição Federal de 1988.";"A exigência de cotas é estabelecida primordialmente pela Lei Brasileira de Inclusão (Lei nº 13.146/15).";"A ação afirmativa, que exige a contratação da pessoa com deficiência ou reabilitada, por parte dos empregadores, é positivada principalmente no art. 93, da Lei nº 8.213/91.";"As cotas são definidas anualmente por decretos do Poder Executivo, ajustando-se à realidade econômica.";"A principal norma sobre cotas é a Consolidação das Leis do Trabalho (CLT), em seu capítulo sobre segurança e medicina do trabalho.";c
"A partir de quantos empregados uma empresa passa a ser obrigada a cumprir a cota de contratação de pessoas com deficiência ou reabilitados?";"A empresa com 50 (cinquenta) ou mais empregados está obrigada a preencher a cota mínima estabelecida.";"A obrigatoriedade de cotas se aplica a todas as empresas, independentemente do número de funcionários contratados.";"A empresa com 100 (cem) ou mais empregados está obrigada a preencher de 2% (dois por cento) a 5% (cinco por cento) dos seus cargos com beneficiários reabilitados ou pessoas portadoras de deficiência, habilitadas (...).";"A exigência de cumprimento da cota se inicia para empresas com mais de 200 (duzentos) empregados diretos.";"A obrigação de contratar cotistas surge a partir de 500 (quinhentos) empregados registrados na empresa.";c
"Qual a regra específica para a dispensa de pessoa com deficiência ou reabilitada em contrato por prazo indeterminado ou determinado superior a 90 dias?";"A dispensa pode ocorrer a qualquer momento, bastando o pagamento das verbas rescisórias normais previstas em lei.";"A dispensa só pode ocorrer por justa causa comprovada, sendo vedada a dispensa imotivada em qualquer hipótese.";"A dispensa de pessoa com deficiência ou de beneficiário reabilitado da Previdência Social ao final de contrato por prazo determinado de mais de 90 (noventa) dias e a dispensa imotivada em contrato por prazo indeterminado somente poderão ocorrer após a contratação de outro trabalhador com deficiência ou beneficiário reabilitado da Previdência Social.";"A dispensa imotivada é permitida, desde que a empresa pague uma indenização adicional equivalente a seis meses de salário.";"A contratação de um substituto só é necessária se a dispensa ocorrer durante o período de experiência do empregado.";c
"A quem incumbe estabelecer a sistemática de fiscalização e gerar dados sobre o preenchimento das vagas de cotas para pessoas com deficiência e reabilitados?";"A fiscalização e a geração de dados são de responsabilidade exclusiva dos sindicatos de trabalhadores.";"Ao Instituto Nacional do Seguro Social (INSS) compete fiscalizar e gerar as estatísticas sobre as cotas.";"Ao Ministério do Trabalho e Emprego incumbe estabelecer a sistemática de fiscalização, bem como gerar dados e estatísticas sobre o total de empregados e as vagas preenchidas por pessoas com deficiência e por beneficiários reabilitados da Previdência Social (...).";"A responsabilidade pela fiscalização é das próprias empresas, que devem apresentar relatórios anuais auditados.";"Cabe ao Ministério Público do Trabalho (MPT) a tarefa primária de fiscalizar e compilar os dados de cumprimento das cotas.";c
"Como os aprendizes com deficiência são considerados para o cálculo da cota estabelecida pelo Art. 93 da Lei nº 8.213/91?";"Os aprendizes com deficiência contam em dobro para o cálculo da cota, como incentivo à sua contratação.";"Para a reserva de cargos será considerada somente a contratação direta de pessoa com deficiência, excluído o aprendiz com deficiência de que trata a Consolidação das Leis do Trabalho (CLT)(...).";"Os aprendizes com deficiência são incluídos normalmente no cálculo da cota, da mesma forma que os empregados diretos.";"A inclusão de aprendizes na cota é opcional, ficando a critério da empresa decidir se os contabiliza ou não.";"Apenas aprendizes reabilitados pelo INSS podem ser considerados para o cálculo da cota, excluindo os demais com deficiência.";b
"Como é realizada a aferição da cota para empregados com deficiência em empresas com múltiplos estabelecimentos?";"A cota é calculada individualmente para cada estabelecimento, sendo obrigatória apenas naqueles com 100 ou mais empregados.";"A aferição considera apenas o estabelecimento sede da empresa, desconsiderando as filiais para fins de cálculo da cota.";"Desse modo, uma empresa que tenha diversos estabelecimentos com menos de 100 empregados, porém o somatório dos empregados de todos os seus estabelecimentos, a nível nacional, resulte em valor igual ou superior a 100 empregados, a empresa estará obrigada à contratação de empregados com deficiência ou reabilitados.";"A cota é calculada por estado, somando os empregados de todos os estabelecimentos dentro da mesma unidade federativa.";"A empresa pode escolher um único estabelecimento para concentrar todos os empregados cotistas, independentemente do total geral.";c
"O que a legislação determina sobre a distribuição dos empregados cotistas entre os diferentes estabelecimentos de uma mesma empresa?";"A lei exige que os empregados cotistas sejam distribuídos proporcionalmente ao número total de empregados de cada estabelecimento.";"A Lei não determina uma proporção para distribuição dos empregados cotistas entre os estabelecimentos da empresa, embora a concentração injustificada de muitos empregados com deficiência em um único estabelecimento ou posto de trabalho pode vir a caracterizar uma prática discriminatório, conforme o caso.";"É obrigatório que cada estabelecimento com mais de 50 empregados tenha ao menos um trabalhador cotista alocado.";"A legislação proíbe a contratação de pessoas com deficiência em estabelecimentos localizados fora das capitais.";"A empresa deve concentrar todos os empregados com deficiência no estabelecimento com melhores condições de acessibilidade.";b
"Qual normativa principal ainda é utilizada para a caracterização da deficiência para fins de enquadramento na Lei de Cotas, enquanto a avaliação unificada da LBI não é regulamentada?";"A caracterização segue exclusivamente os critérios definidos pela Organização Mundial da Saúde (OMS) na CID mais recente.";"Utiliza-se unicamente a autodeclaração do trabalhador, sem necessidade de comprovação adicional por laudos.";"(...) a caracterização da deficiência, para fins de enquadramento, como pessoa com deficiência, segue, ainda, o previsto no Decreto nº 3.298/99 alterado pelo Decreto nº 5.296/04 (...).";"A caracterização é feita com base nas leis estaduais específicas sobre deficiência, variando conforme a localidade da empresa.";"Apenas laudos emitidos pelo INSS durante o processo de reabilitação profissional são aceitos para fins de cota.";c
"Leis estaduais que definem a condição de pessoa com deficiência são consideradas para o cumprimento da Lei de Cotas?";"Sim, leis estaduais são consideradas, especialmente se forem mais abrangentes que a legislação federal vigente.";"Leis estaduais que definem condição de pessoa com deficiência não são consideradas para a Lei de Cotas, pois trata-se de aplicação, no âmbito do direito do trabalho, competência legislativa exclusiva da União (...).";"Apenas leis estaduais de regiões metropolitanas podem ser usadas, devido à concentração de oportunidades de emprego.";"Leis estaduais são consideradas apenas se a empresa atuar exclusivamente dentro dos limites daquele estado específico.";"Sim, desde que a lei estadual tenha sido aprovada por unanimidade na respectiva assembleia legislativa local.";b
"Qual a naturezada proteção legal conferida pela exigência de substituição prévia para a dispensa de empregado cotista?";"Trata-se de uma garantia individual de emprego vitalícia para o trabalhador com deficiência ou reabilitado.";"É uma proteção que visa unicamente dificultar a demissão, impondo multas elevadas em caso de descumprimento.";"Trata-se de uma proteção legal ao posto de trabalho ocupado por aquele trabalhador e não de uma garantia provisória de emprego.";"A proteção garante ao empregado o direito de escolher seu substituto antes de ser efetivamente desligado da empresa.";"É uma garantia provisória de emprego, válida apenas durante os primeiros doze meses após a contratação do cotista.";c
"Em que situação a dispensa de um empregado cotista poderia ocorrer sem a necessidade de contratação prévia de um substituto?";"A dispensa sem substituição prévia nunca é permitida, mesmo que a cota esteja acima do mínimo legal exigido.";"Se o empregado dispensado pedir demissão voluntariamente, a empresa não precisa contratar um substituto imediatamente.";"O entendimento é que, caso a cota esteja cumprida além do mínimo legal, as dispensas poderiam ocorrer sem a substituição, mas sem a reserva mínima legal, existe a proibição legislativa de deixar vagos os cargos reservados para as pessoas com deficiência.";"A substituição prévia é dispensada caso a empresa comprove dificuldades financeiras severas nos últimos seis meses.";"Quando a dispensa ocorrer por justa causa, a empresa fica desobrigada de contratar um substituto para a vaga.";c
"Quais as características exigidas para o trabalhador substituto contratado no lugar de um empregado cotista dispensado?";"O substituto deve obrigatoriamente possuir o mesmo tipo de deficiência e ocupar exatamente a mesma função do empregado desligado.";"O legislador, ao se referir à contratação de outro trabalhador com deficiência ou reabilitado, não estabeleceu que fosse empregado em igual função e cargo ou com o mesmo tipo de deficiência, mas sim - deu sentido amplo à substituição (...).";"O trabalhador substituto precisa ter um grau de deficiência comprovadamente maior que o do empregado anterior.";"A substituição só é válida se o novo empregado for reabilitado pelo INSS, excluindo pessoas com deficiência não reabilitadas.";"O substituto deve ser contratado na mesma unidade da empresa onde o trabalhador anterior estava alocado obrigatoriamente.";b
